"Criteria ID","Name","Canonical Name","","","Parent ID","Country Code","Target Type","Status"
"1002807","Aarau","Aarau","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002808","Aarburg","Aarburg","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002809","Baden","Baden","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002810","Brittnau","Brittnau","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002811","Brugg","Brugg","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002815","Hirschthal","Hirschthal","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002817","Hunzenschwil","Hunzenschwil","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002830","Muhen","Muhen","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002831","Neuenhof","Neuenhof","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002832","Niederlenz","Niederlenz","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002834","Oberentfelden","Oberentfelden","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002837","Rheinfelden","Rheinfelden","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002839","Rothrist","Rothrist","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002841","Rupperswil","Rupperswil","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002842","Safenwil","Safenwil","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002846","Spreitenbach","Spreitenbach","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002847","Staufen","Staufen","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002853","Unterentfelden","Unterentfelden","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002854","Unterkulm","Unterkulm","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002856","Vordemwald","Vordemwald","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002857","Wettingen","Wettingen","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002862","Zofingen","Zofingen","Aargau","Switzerland","20126","CH-DE","City","Active"
"9047949","Baretswil","Baretswil","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003169","Bellinzona","Bellinzona","Ticino","Switzerland","20146","CH-IT","City","Active"
"1002875","Bern","Bern","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002876","Biel/Bienne","Biel/Bienne","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"9047951","Birmensdorf","Birmensdorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1002881","Farnern","Farnern","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002884","Muri bei Bern","Muri bei Bern","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002887","Kirchlindach","Kirchlindach","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002889","Hilterfingen","Hilterfingen","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002891","Ipsach","Ipsach","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002892","Ittigen","Ittigen","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1030598","Blonay","Blonay","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003098","Buchs","Buchs","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"1002910","Nidau","Nidau","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1030601","Buchs","Buchs","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002916","Orpund","Orpund","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"9047955","Buchs","Buchs","Zurich","Switzerland","20151","CH-DE","City","Active"
"1002918","Ostermundigen","Ostermundigen","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002983","Carouge","Carouge","Geneva","Switzerland","20133","CH-FR","City","Active"
"1002930","Thun","Thun","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002986","Chene-Bougeries","Chene-Bougeries","Geneva","Switzerland","20133","CH-FR","City","Active"
"1002934","Uetendorf","Uetendorf","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002935","Utzenstorf","Utzenstorf","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002987","Chene-Bourg","Chene-Bourg","Geneva","Switzerland","20133","CH-FR","City","Active"
"1002940","Zollikofen","Zollikofen","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1002942","Allschwil","Allschwil","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002943","Arlesheim","Arlesheim","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002944","Augst","Augst","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002945","Binningen","Binningen","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002946","Birsfelden","Birsfelden","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002950","Giebenach","Giebenach","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002951","Hersberg","Hersberg","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002955","Liestal","Liestal","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002956","Munchenstein","Munchenstein","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002957","Muttenz","Muttenz","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002959","Pratteln","Pratteln","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1002961","Riehen","Riehen","Basel City","Switzerland","20131","CH-DE","City","Active"
"1002964","Basel","Basel","Basel City","Switzerland","20131","CH-DE","City","Active"
"1002965","Bettingen","Bettingen","Basel City","Switzerland","20131","CH-DE","City","Active"
"1002969","Dudingen","Dudingen","Fribourg","Switzerland","20132","CH-FR","City","Active"
"9047958","Dallikon","Dallikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1002971","Fribourg","Fribourg","Fribourg","Switzerland","20132","CH-FR","City","Active"
"1002972","Givisiez","Givisiez","Fribourg","Switzerland","20132","CH-FR","City","Active"
"1002973","Granges-Paccot","Granges-Paccot","Fribourg","Switzerland","20132","CH-FR","City","Active"
"1002974","Marly","Marly","Fribourg","Switzerland","20132","CH-FR","City","Active"
"1003128","Daniken","Daniken","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1002982","Bellevue","Bellevue","Geneva","Switzerland","20133","CH-FR","City","Active"
"1002989","Collonge-Bellerive","Collonge-Bellerive","Geneva","Switzerland","20133","CH-FR","City","Active"
"1002990","Cologny","Cologny","Geneva","Switzerland","20133","CH-FR","City","Active"
"1003191","Ecublens","Ecublens","Vaud","Switzerland","20148","CH-FR","City","Active"
"1002996","Lancy","Lancy","Geneva","Switzerland","20133","CH-FR","City","Active"
"1002998","Meyrin","Meyrin","Geneva","Switzerland","20133","CH-FR","City","Active"
"1003001","Plan-les-Ouates","Plan-les-Ouates","Geneva","Switzerland","20133","CH-FR","City","Active"
"1003004","Vernier","Vernier","Geneva","Switzerland","20133","CH-FR","City","Active"
"1003007","Veyrier","Veyrier","Geneva","Switzerland","20133","CH-FR","City","Active"
"9047964","Erlinsbach","Erlinsbach","Aargau","Switzerland","20126","CH-DE","City","Active"
"1030617","Fallanden","Fallanden","Zurich","Switzerland","20151","CH-DE","City","Active"
"1002992","Geneva","Geneva","Geneva","Switzerland","20133","CH-FR","City","Active"
"1003041","Adligenswil","Adligenswil","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1003044","Ebikon","Ebikon","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1003045","Emmen","Emmen","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1003101","Gossau","Gossau","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"1003054","Kriens","Kriens","Lucerne","Switzerland","20137","CH-DE","City","Active"
"9047972","Gossau","Gossau","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003059","Meggen","Meggen","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1002814","Granichen","Granichen","Aargau","Switzerland","20126","CH-DE","City","Active"
"1003062","Reiden","Reiden","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1003064","Root","Root","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1003065","Rothenburg","Rothenburg","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1003134","Hagendorf","Hagendorf","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1003050","Hergiswil","Hergiswil","Nidwalden","Switzerland","20139","CH-DE","City","Active"
"1003082","La Chaux-de-Fonds","La Chaux-de-Fonds","Neuchatel","Switzerland","20138","CH-FR","City","Active"
"1003089","Saint-Blaise","Saint-Blaise","Neuchatel","Switzerland","20138","CH-FR","City","Active"
"1003264","Kilchberg","Kilchberg","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003109","Rorschach","Rorschach","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"1002895","Kirchberg","Kirchberg","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1003111","Schwerzenbach","Schwerzenbach","Zurich","Switzerland","20151","CH-DE","City","Active"
"9047980","Kirchberg","Kirchberg","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"1003113","St. Gallen","St. Gallen","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"1002821","Kolliken","Kolliken","Aargau","Switzerland","20126","CH-DE","City","Active"
"1003117","Beringen","Beringen","Schaffhausen","Switzerland","20142","CH-DE","City","Active"
"1030634","Koniz","Koniz","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1003120","Schaffhausen","Schaffhausen","Schaffhausen","Switzerland","20142","CH-DE","City","Active"
"1003121","Thayngen","Thayngen","Schaffhausen","Switzerland","20142","CH-DE","City","Active"
"1003124","Bellach","Bellach","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1003126","Biberist","Biberist","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1030635","Kusnacht","Kusnacht","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003130","Dulliken","Dulliken","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1003133","Gretzenbach","Gretzenbach","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1003141","Solothurn","Solothurn","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1003142","Zuchwil","Zuchwil","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1003144","Freienbach","Freienbach","Schwyz","Switzerland","20144","CH-DE","City","Active"
"1003162","Sirnach","Sirnach","Thurgau","Switzerland","20145","CH-DE","City","Active"
"1030639","Locarno","Locarno","Ticino","Switzerland","20146","CH-IT","City","Active"
"1003056","Lucerne","Lucerne","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1003174","Lugano","Lugano","Ticino","Switzerland","20146","CH-IT","City","Active"
"1003267","Mannedorf","Mannedorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003189","Crissier","Crissier","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003190","Denens","Denens","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003192","Epalinges","Epalinges","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003177","Mendrisio","Mendrisio","Ticino","Switzerland","20146","CH-IT","City","Active"
"1003196","Lausanne","Lausanne","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003197","Le Mont-sur-Lausanne","Le Mont-sur-Lausanne","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003202","Montreux","Montreux","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003203","Morges","Morges","Vaud","Switzerland","20148","CH-FR","City","Active"
"9047993","Mex","Mex","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003205","Nyon","Nyon","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003209","Prangins","Prangins","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003270","Monchaltorf","Monchaltorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003212","Pully","Pully","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003217","Vevey","Vevey","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003219","Yverdon-les-Bains","Yverdon-les-Bains","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003222","Martigny","Martigny","Valais","Switzerland","20149","CH-FR","City","Active"
"9047995","Munchwilen","Munchwilen","Thurgau","Switzerland","20145","CH-DE","City","Active"
"1003227","Sion","Sion","Valais","Switzerland","20149","CH-FR","City","Active"
"1003230","Baar","Baar","Canton of Zug","Switzerland","20150","CH-DE","City","Active"
"1003231","Cham","Cham","Canton of Zug","Switzerland","20150","CH-DE","City","Active"
"1003232","Neuheim","Neuheim","Canton of Zug","Switzerland","20150","CH-DE","City","Active"
"1003234","Steinhausen","Steinhausen","Canton of Zug","Switzerland","20150","CH-DE","City","Active"
"1003235","Zug","Zug","Canton of Zug","Switzerland","20150","CH-DE","City","Active"
"1003237","Adliswil","Adliswil","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003239","Bassersdorf","Bassersdorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003243","Wangen-Bruttisellen","Wangen-Bruttisellen","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003244","Bubikon","Bubikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003246","Dielsdorf","Dielsdorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003247","Dietikon","Dietikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003248","Dubendorf","Dubendorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003249","Maur","Maur","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003251","Egg","Egg","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003257","Geroldswil","Geroldswil","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003259","Greifensee","Greifensee","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003088","Neuchatel","Neuchatel","Neuchatel","Switzerland","20138","CH-FR","City","Active"
"1003262","Hombrechtikon","Hombrechtikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003263","Horgen","Horgen","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003265","Kloten","Kloten","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003269","Meilen","Meilen","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003273","Opfikon","Opfikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003276","Regensdorf","Regensdorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003277","Richterswil","Richterswil","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003278","Rumlang","Rumlang","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003281","Schlieren","Schlieren","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003282","Seuzach","Seuzach","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003138","Oberdorf","Oberdorf","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1003287","Urdorf","Urdorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003288","Uster","Uster","Zurich","Switzerland","20151","CH-DE","City","Active"
"9048004","Oberdorf","Oberdorf","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1003290","Wallisellen","Wallisellen","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003293","Winterthur","Winterthur","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003294","Zollikon","Zollikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003296","Zumikon","Zumikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003297","Zurich","Zurich","Zurich","Switzerland","20151","CH-DE","City","Active"
"1002958","Oberwil","Oberwil","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1030591","Bardonnex","Bardonnex","Geneva","Switzerland","20133","CH-FR","City","Active"
"1030600","Brugg","Brugg","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1003275","Pfaffikon","Pfaffikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030602","Bulle","Bulle","Fribourg","Switzerland","20132","CH-FR","City","Active"
"1002984","Pregny-Chambesy","Pregny-Chambesy","Geneva","Switzerland","20133","CH-FR","City","Active"
"1003210","Preverenges","Preverenges","Vaud","Switzerland","20148","CH-FR","City","Active"
"1030610","Dietlikon","Dietlikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030612","Eschlikon","Eschlikon","Thurgau","Switzerland","20145","CH-DE","City","Active"
"1030618","Fullinsdorf","Fullinsdorf","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1030619","Gaiserwald","Gaiserwald","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"1002960","Reinach","Reinach","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"1030660","Reinach","Reinach","Aargau","Switzerland","20126","CH-DE","City","Active"
"1003213","Renens","Renens","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003063","Rickenbach","Rickenbach","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1030625","Gruningen","Gruningen","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030628","Heimberg","Heimberg","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1030629","Herrliberg","Herrliberg","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030630","Horw","Horw","Lucerne","Switzerland","20137","CH-DE","City","Active"
"1030636","La Tour-de-Peilz","La Tour-de-Peilz","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003280","Ruti","Ruti","Switzerland","","2756","CH-DE","City","Active"
"1003215","Saint-Sulpice","Saint-Sulpice","Vaud","Switzerland","20148","CH-FR","City","Active"
"1030666","Sant'Antonino","Sant'Antonino","Ticino","Switzerland","20146","CH-IT","City","Active"
"1030652","Oberglatt","Oberglatt","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030653","Oetwil am See","Oetwil am See","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030654","Olten","Olten","Solothurn","Switzerland","20143","CH-DE","City","Active"
"1030667","Schafisheim","Schafisheim","Aargau","Switzerland","20126","CH-DE","City","Active"
"1030668","Seegraben","Seegraben","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030669","Steffisburg","Steffisburg","Canton of Bern","Switzerland","20129","CH-DE","City","Active"
"1030674","Uzwil","Uzwil","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"1030678","Volketswil","Volketswil","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003283","Stafa","Stafa","Zurich","Switzerland","20151","CH-DE","City","Active"
"20132","Fribourg","Fribourg","Switzerland","","2756","CH-DE","Canton","Active"
"20141","St. Gallen","St. Gallen","Switzerland","","2756","CH-DE","Canton","Active"
"20142","Schaffhausen","Schaffhausen","Switzerland","","2756","CH-DE","Canton","Active"
"20143","Solothurn","Solothurn","Switzerland","","2756","CH-DE","Canton","Active"
"1002849","Stetten","Stetten","Aargau","Switzerland","20126","CH-DE","City","Active"
"9047956","Bussigny","Bussigny","Vaud","Switzerland","20148","CH-FR","City","Active"
"9047957","Cheseaux-sur-Lausanne","Cheseaux-sur-Lausanne","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003003","Thonex","Thonex","Geneva","Switzerland","20133","CH-FR","City","Active"
"9047960","Durnten","Durnten","Zurich","Switzerland","20151","CH-DE","City","Active"
"9047966","Fehraltorf","Fehraltorf","Zurich","Switzerland","20151","CH-DE","City","Active"
"9047967","Feusisberg","Feusisberg","Schwyz","Switzerland","20144","CH-DE","City","Active"
"9047969","Frenkendorf","Frenkendorf","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"9047974","Hittnau","Hittnau","Zurich","Switzerland","20151","CH-DE","City","Active"
"9047977","Jonschwil","Jonschwil","St. Gallen","Switzerland","20141","CH-DE","City","Active"
"9047982","Kuttigen","Kuttigen","Aargau","Switzerland","20126","CH-DE","City","Active"
"1002980","Villars-sur-Glane","Villars-sur-Glane","Fribourg","Switzerland","20132","CH-FR","City","Active"
"9047985","Langnau am Albis","Langnau am Albis","Zurich","Switzerland","20151","CH-DE","City","Active"
"9047990","Lutry","Lutry","Vaud","Switzerland","20148","CH-FR","City","Active"
"1003164","Wangi","Wangi","Thurgau","Switzerland","20145","CH-DE","City","Active"
"9048001","Niederhasli","Niederhasli","Zurich","Switzerland","20151","CH-DE","City","Active"
"1003292","Wetzikon","Wetzikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"9048005","Obersiggenthal","Obersiggenthal","Aargau","Switzerland","20126","CH-DE","City","Active"
"9048010","Russikon","Russikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"9048011","Saint-Prex","Saint-Prex","Vaud","Switzerland","20148","CH-FR","City","Active"
"9048017","Seon","Seon","Aargau","Switzerland","20126","CH-DE","City","Active"
"9048019","Stallikon","Stallikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"9048021","Strengelbach","Strengelbach","Aargau","Switzerland","20126","CH-DE","City","Active"
"9048022","Therwil","Therwil","Basel-Landschaft","Switzerland","20130","CH-DE","City","Active"
"9048023","Uitikon","Uitikon","Zurich","Switzerland","20151","CH-DE","City","Active"
"1030684","Zuzwil","Zuzwil","St. Gallen","Switzerland","20141","CH-DE","City","Active"
